,Atelectasis,Cardiomegaly,Consolidation,Edema,Plural Effusion,Mean
Epoch 1,0.8055873308171386,0.8146258962244036,0.6537337482628001,0.6723457962758073,0.8483130355504611,0.7589211614261222
Epoch 2,0.8200150350448558,0.8232027160219875,0.6513313421028804,0.6877467261315313,0.8589169736861266,0.7682425585974764
Epoch 3,0.8336045518470346,0.8312955892936285,0.650512379499537,0.6899576727367461,0.8689384893186354,0.7748617365391163
Epoch 4,0.8360916701809915,0.8352941794649643,0.6542324248018545,0.6991159966302519,0.879174212133631,0.7807816966423387
Epoch 5,0.8424751665410509,0.8454710264648042,0.6433584261737146,0.7061905468009292,0.886703058267474,0.7848396448495946
Epoch 6,0.8518215497779733,0.8570392860398062,0.6475201464800422,0.7076074467660141,0.8966628579611134,0.7921302574049898
Epoch 7,0.8589908165155352,0.8597737342210241,0.6628817994967529,0.722461046854776,0.904485049833887,0.801718489384395
Epoch 8,0.8640546210348907,0.8692888903844067,0.6685991577328056,0.7308212504281686,0.9141883426566008,0.8093904524473745
Epoch 9,0.8754882440650709,0.8822427017216037,0.6770908223879091,0.7504259711369156,0.9187978168506703,0.8208091112324339
Epoch 10,0.8781238332463686,0.8917162764274666,0.6842518140130279,0.7628672860734116,0.9276952702707388,0.8289308960062026
Epoch 11,0.8900314158135881,0.9032149893727293,0.685631581352921,0.7781205758909545,0.9406388449133931,0.8395274814687171
Epoch 12,0.8891158823567304,0.9087940285995547,0.6982715848564299,0.7942910362400003,0.9511059374893818,0.8483156939084194
Epoch 13,0.9047366921365869,0.9261417823621461,0.7096498211489944,0.8157374553246922,0.9602827162086164,0.8633096934362072
Epoch 14,0.9112106387899745,0.93508209887434,0.7108578018504992,0.834035117294085,0.9653895151207519,0.87131503438593
Epoch 15,0.918763635381719,0.9396099810857418,0.7146037411428217,0.855965217982122,0.9754088420911026,0.8808702835367015
Epoch 16,0.9278549487914562,0.9507293074398575,0.7330316596605176,0.8757209611178849,0.9790354769567247,0.8932744707932881
Epoch 17,0.936186479737237,0.9603944701006586,0.7414714494430271,0.8991753834777167,0.9820115374133811,0.9038478640344041
Epoch 18,0.9385899425803889,0.9646709689075788,0.7408122823014925,0.9138854665862202,0.9858191594705188,0.9087555639692398
Epoch 19,0.9479414881023448,0.9704114331122593,0.7578214187091202,0.9292617321613182,0.9879838546943293,0.9186839853558743
Epoch 20,0.9510288875293402,0.9761577328677827,0.7749954772410076,0.9431480677992682,0.9892702679650591,0.9269200866804915
